node_1,node_2
3000,3001
3001,3002
3002,3003
3003,3004
3004,3005
3005,3006
3006,3007
3007,3009
3009,3010
3010,3011
3011,3012
3012,3013
3013,3014
3014,4107
3014,4108
4000,4001
4001,4002
4002,4003
4003,4100
4100,4101
4101,4102
4102,4103
4103,4104
4104,4105
4105,4106
4106,4107
4107,4108
2502,2000
2000,2001
2001,2101
2101,2102
2102,2103
2103,2104
2104,2105
2105,2200
2200,2201
2201,2202
2202,2204
2204,2205
2205,2300
2300,2302
2302,2303
2303,2304
5000,5001
5001,5002
5002,5005
5005,5100
5100,5101
5101,5102
5102,5103
5103,5105
5105,5107
5107,12000
12000,12001
12001,12007
12007,12002
12002,12003
12003,12004
12004,14001
14001,9110
6000,6001
6001,6002
6002,6100
6100,6101
6101,6102
6102,6103
6103,6104
6104,6105
6105,6106
6106,6107
6107,6108
6108,6109
6109,6111
9000,9001
9001,9002
9002,9003
9003,9004
9004,9100
9100,9101
9101,9103
9103,9104
9104,9105
9105,9106
9106,9107
9107,9108
9108,9109
9109,9110
9110,9111
9111,9113
9113,9114
9114,9115
9115,9116
9116,9117
9117,9118
9118,9119
9119,9120
9120,9121
9121,9122
9122,9123
9123,2304
2304,4108
4108,2303
4108,2302
4108,7101
7101,3014
3014,4107
10000,10001
10001,10002
10002,10003
10003,10004
10004,10010
10010,10005
10005,10006
10006,10007
10007,10008
10008,10009
10009,9114
9113,10008
9111,10007
9111,14001
9110,14001
14004,9110
14004,10006
14004,14005
7000,7001
7001,7002
7002,7003
7003,7004
7004,7005
7005,7006
7006,7007
7007,7008
7008,7009
7009,7113
7113,7112
7112,7111
7111,7110
7110,7109
7109,7108
7108,7107
7107,7106
7106,7105
7105,7104
7104,7103
7103,7102
7102,7101
6107,7108
7503,7504
7504,7505
7505,7506
7506,7010
7010,7000
7010,7001
8000,8001
8001,8002
8002,9004
8002,9003
7200,7201
7200,9109
