X,Y,objectid,numero_estacion,nombre_estacion,coordenada_x_estacion,coordenada_y_estacion,ubicacion_estacion,troncal_estacion,numero_vagones_estacion,numero_accesos_estacion,biciestacion_estacion,capacidad_biciestacion_estacion,tipo_estacion,biciparqueadero_estacion,latitud_estacion,longitud_estacion,globalid,created_user,created_date,last_edited_user,last_edited_date,lo_replica,codigo_nodo_estacion,componente_wifi,componente_aplificacion
-74.0561783771686,4.69298189766728,1,02205,Calle 106,1002366.4862,1010702.2829,Calle 106,Autonorte,4,1,0,0,4,0,4.6929819,-74.05617838,{D804EEAA-1DFA-41B9-8EA7-4C5C728E7AC1},,,TECNICA,2022/06/02 19:03:13+00,,2205,Valor NO al campo,Valor NO al campo
-74.0460349493978,4.75462117143394,2,02000,Portal del Norte,1003491.5788,1017518.5086,Calle 173,Autonorte,0,0,0,0,1,0,4.75462117,-74.04603495,{182C5CE1-0696-47CA-8EB8-40E45A851D42},,,TECNICA,2022/06/02 16:23:35+00,,2000,Valor SI al campo,Valor SI al campo
-74.0798661316369,4.63066292029669,3,07108,AV. El Dorado,999738.3359,1003810.9144,Kr 30 Av 28,NQS,1,1,0,0,4,0,4.63066292,-74.07986613,{D51603ED-7B42-48F9-A729-98A88E48C3CA},,,TECNICA,2022/08/24 16:37:26+00,,7108,Valor SI al campo,
-74.0552976694193,4.69812498041107,4,02204,Pepe Sierra,1002464.1816,1011271.0169,Calle 116,Autonorte,2,1,0,0,4,0,4.69812498,-74.05529767,{43A41E08-B32C-458F-B86F-76D19888C696},,,TECNICA,2022/06/02 16:22:25+00,,2204,Valor SI al campo,Valor SI al campo
-74.0492175563305,4.73458515728539,5,02103,Mazurén,1003138.5941,1015302.8731,Calle 152,Autonorte,5,1,0,0,4,0,4.73458516,-74.04921756,{893AC347-B878-48AD-A615-F94C152AFF8C},,,TECNICA,2022/06/02 19:03:17+00,,2103,Valor NO al campo,Valor NO al campo
-74.0736406707842,4.67800633873993,6,04106,Carrera 47,1000429.0753,1009046.2255,Carrera 46,Calle 80,1,1,0,0,4,0,4.67800634,-74.07364067,{C647ED68-89B2-4418-8BEC-FDACAFDE5FD0},,,TECNICA,2022/08/24 16:48:10+00,,4106,Valor SI al campo,
-74.1026111159888,4.6016671664805,7,07113,Santa Isabel,997214.4724,1000604.5699,Kr 30 Av 3,NQS,2,1,0,0,4,0,4.60166717,-74.10261112,{48DB6EEA-CB5C-43BD-808E-B10166C0CA05},,,TECNICA,2022/08/24 16:56:24+00,,7113,Valor SI al campo,
-74.0542292307771,4.70464049659866,8,02202,Calle 127,1002582.6987,1011991.5179,Calle 127,Autonorte,2,1,0,0,4,0,4.7046405,-74.05422923,{3812C13D-073F-4460-95F9-FC2958A94B47},,,TECNICA,2022/06/02 16:22:58+00,,2202,Valor NO al campo,Valor SI al campo
-74.1295447993976,4.5935688094538,9,07006,General Santander,994225.7629,999709.2032,AutoSur-Kr43,NQS,4,1,1,48,2,1,4.59356881,-74.1295448,{620F5E54-B639-4A1C-AD4A-2267956449CD},,,TECNICA,2022/08/24 16:52:04+00,,7006,Valor SI al campo,
-74.100287557955,4.70248562861434,10,04003,AV. Cali,997472.661,1011753.227,Carrera 86,Calle 80,1,1,0,0,2,0,4.70248563,-74.10028756,{C982C18C-08DF-4407-A08F-1F805334ACD4},,,TECNICA,2022/04/22 15:51:06+00,,4003,,
-74.0596400231553,4.67231509806277,11,02303,Calle 85,1001982.479,1008416.9027,Calle 85,Autonorte,4,1,0,0,4,0,4.6723151,-74.05964002,{0D01846F-36FD-42B0-AE12-E56CB309B38E},,,TECNICA,2022/08/24 16:48:06+00,,2303,Valor SI al campo,Valor SI al campo
-74.0505097017688,4.72685125011283,12,02105,Calle 142,1002995.2739,1014447.6377,Calle 142,Autonorte,4,1,0,0,4,0,4.72685125,-74.0505097,{82F22641-EB7A-4984-B8DC-4246EF7DD11D},,,TECNICA,2022/06/02 16:23:02+00,,2105,Valor NO al campo,Valor SI al campo
-74.1426496597451,4.59556711085458,13,07004,Venecia,992771.6106,999930.2974,AutoSur-Av 54,NQS,2,1,0,0,4,0,4.59556711,-74.14264966,{9012D763-13A1-4FBE-B6D3-037BA6CD44EA},,,TECNICA,2022/08/24 17:00:31+00,,7004,Valor SI al campo,
-74.0793211274175,4.63711878522734,14,07107,U. Nacional,999798.8106,1004524.8136,Kr 30 Cl 45,NQS,3,2,0,0,4,0,4.63711879,-74.07932113,{D7067858-E28E-4151-AF51-989E230D1C06},,,TECNICA,2022/04/22 15:51:06+00,,7107,,
